"행정구역","2023년06월_남_총인구수","2023년06월_남_연령구간인구수","2023년06월_남_0~9세","2023년06월_남_10~19세","2023년06월_남_20~29세","2023년06월_남_30~39세","2023년06월_남_40~49세","2023년06월_남_50~59세","2023년06월_남_60~69세","2023년06월_남_70~79세","2023년06월_남_80~89세","2023년06월_남_90~99세","2023년06월_남_100세 이상","2023년06월_여_총인구수","2023년06월_여_연령구간인구수","2023년06월_여_0~9세","2023년06월_여_10~19세","2023년06월_여_20~29세","2023년06월_여_30~39세","2023년06월_여_40~49세","2023년06월_여_50~59세","2023년06월_여_60~69세","2023년06월_여_70~79세","2023년06월_여_80~89세","2023년06월_여_90~99세","2023년06월_여_100세 이상"
"서울특별시  (1100000000)","4,557,609","4,557,609","271,154","379,698","655,191","713,709","709,242","732,824","620,795","328,888","134,220","11,558","330","4,856,484","4,856,484","257,447","362,908","720,852","713,149","724,209","757,481","691,705","397,042","198,215","32,311","1,165"
"서울특별시 종로구 (1111000000)","67,834","67,834","3,078","4,930","10,337","9,665","9,408","11,915","10,356","5,164","2,668","303","10","72,563","72,563","3,032","5,079","11,499","9,702","10,051","12,110","10,200","6,282","3,951","631","26"
"서울특별시 종로구 청운효자동(1111051500)","5,286","5,286","317","585","699","704","852","853","652","366","231","26","1","6,225","6,225","302","534","713","852","1,097","1,049","750","548","325","53","2"
"서울특별시 종로구 사직동(1111053000)","4,026","4,026","248","287","458","612","626","685","579","285","211","33","2","5,063","5,063","241","377","618","816","777","815","660","411","291","55","2"
"서울특별시 종로구 삼청동(1111054000)","1,089","1,089","40","99","119","135","148","179","185","114","56","13","1","1,188","1,188","45","66","131","156","170","175","208","128","94","14","1"
"서울특별시 종로구 부암동(1111055000)","4,315","4,315","188","462","579","569","609","765","609","342","177","15","0","4,797","4,797","205","381","547","591","769","886","720","398","240","56","4"
"서울특별시 종로구 평창동(1111056000)","8,139","8,139","559","735","1,028","989","1,128","1,411","1,305","611","334","37","2","9,337","9,337","478","790","1,075","1,091","1,378","1,748","1,443","749","481","96","8"
"서울특별시 종로구 무악동(1111057000)","3,672","3,672","246","405","386","402","597","714","506","261","140","15","0","4,312","4,312","314","536","440","444","697","704","583","329","231","30","4"
"서울특별시 종로구 교남동(1111058000)","4,483","4,483","372","394","507","655","786","799","537","266","155","12","0","5,266","5,266","369","412","606","800","903","857","641","427","219","32","0"
"서울특별시 종로구 가회동(1111060000)","1,817","1,817","90","155","196","242","300","328","263","154","80","9","0","2,093","2,093","68","155","228","272","338","354","304","222","129","23","0"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","4,078","4,078","83","104","481","557","533","762","915","433","194","15","1","2,622","2,622","73","100","479","398","318","355","415","274","178","31","1"
"서울특별시 종로구 종로5.6가동(1111063000)","2,864","2,864","72","95","557","493","328","513","466","221","109","10","0","2,573","2,573","79","119","656","385","237","371","318","257","130","21","0"
"서울특별시 종로구 이화동(1111064000)","3,329","3,329","93","165","698","618","420","496","442","262","116","19","0","3,677","3,677","97","164","830","609","411","512","486","322","220","26","0"
"서울특별시 종로구 혜화동(1111065000)","7,695","7,695","266","610","2,139","1,053","958","1,099","818","436","282","31","3","8,363","8,363","270","654","2,225","940","1,021","1,214","872","645","446","73","3"
"서울특별시 종로구 창신제1동(1111067000)","2,430","2,430","55","99","281","351","256","477","562","243","100","6","0","2,161","2,161","55","85","274","256","239","404","445","232","153","18","0"
"서울특별시 종로구 창신제2동(1111068000)","3,906","3,906","86","187","515","518","457","886","746","346","147","18","0","3,672","3,672","79","161","484","366","375","808","703","428","241","27","0"
"서울특별시 종로구 창신제3동(1111069000)","3,146","3,146","161","224","436","466","403","572","544","223","95","22","0","3,268","3,268","154","211","405","449","416","603","539","277","191","23","0"
"서울특별시 종로구 숭인제1동(1111070000)","2,772","2,772","102","173","332","412","418","535","461","237","93","9","0","2,978","2,978","102","169","370","393","402","543","507","276","185","30","1"
"서울특별시 종로구 숭인제2동(1111071000)","4,787","4,787","100","151","926","889","589","841","766","364","148","13","0","4,968","4,968","101","165","1,418","884","503","712","606","359","197","23","0"
"서울특별시 중구 (1114000000)","58,857","58,857","2,958","3,113","8,175","10,270","8,568","9,669","9,094","4,719","2,056","230","5","62,584","62,584","2,879","3,160","9,499","10,197","8,309","9,601","9,175","5,695","3,425","621","23"
"서울특별시 중구 소공동(1114052000)","1,040","1,040","85","41","85","217","251","165","123","51","19","3","0","1,167","1,167","68","90","153","261","249","152","110","52","27","5","0"
"서울특별시 중구 회현동(1114054000)","2,331","2,331","89","109","215","250","296","429","561","256","115","11","0","2,137","2,137","87","98","225","276","268","353","404","258","130","36","2"
"서울특별시 중구 명동(1114055000)","1,142","1,142","37","62","133","194","160","201","192","109","47","7","0","1,549","1,549","28","71","194","177","214","253","302","172","116","22","0"
"서울특별시 중구 필동(1114057000)","2,060","2,060","81","92","381","351","249","338","314","162","80","12","0","1,917","1,917","69","105","360","322","214","237","296","155","126","32","1"
"서울특별시 중구 장충동(1114058000)","2,418","2,418","78","146","714","379","272","309","272","159","80","9","0","2,182","2,182","57","146","552","280","242","289","266","195","132","23","0"
"서울특별시 중구 광희동(1114059000)","2,818","2,818","62","88","498","609","346","419","457","239","89","11","0","2,863","2,863","54","107","711","545","326","332","380","263","126","19","0"
"서울특별시 중구 을지로동(1114060500)","1,500","1,500","54","24","167","391","207","225","257","127","44","4","0","1,150","1,150","71","40","186","306","168","120","127","82","45","5","0"
"서울특별시 중구 신당동(1114061500)","3,702","3,702","105","109","564","675","534","676","595","317","115","12","0","3,803","3,803","137","138","741","653","467","562","537","333","193","41","1"
"서울특별시 중구 다산동(1114062500)","6,479","6,479","234","370","1,033","1,134","900","1,054","939","546","248","21","0","6,924","6,924","223","317","1,129","1,065","859","1,114","1,105","647","399","64","2"
"서울특별시 중구 약수동(1114063500)","7,508","7,508","423","452","874","1,097","1,093","1,219","1,254","723","331","42","0","8,774","8,774","449","447","946","1,160","1,190","1,433","1,473","935","619","117","5"
"서울특별시 중구 청구동(1114064500)","6,192","6,192","326","383","804","1,061","844","1,017","999","487","247","23","1","6,922","6,922","325","381","862","1,083","869","1,127","1,086","675","439","71","4"
"서울특별시 중구 신당제5동(1114065000)","4,864","4,864","244","226","667","869","731","908","703","349","150","16","1","5,234","5,234","244","266","845","866","680","861","714","474","243","40","1"
"서울특별시 중구 동화동(1114066500)","4,820","4,820","322","398","560","644","678","886","785","369","154","24","0","5,195","5,195","272","390","609","655","713","971","795","434","309","46","1"
"서울특별시 중구 황학동(1114067000)","6,082","6,082","354","222","918","1,456","933","854","780","409","142","14","0","6,728","6,728","316","249","1,322","1,449","919","897","797","486","242","49","2"
"서울특별시 중구 중림동(1114068000)","5,901","5,901","464","391","562","943","1,074","969","863","416","195","21","3","6,039","6,039","479","315","664","1,099","931","900","783","534","279","51","4"
"서울특별시 용산구 (1117000000)","104,357","104,357","5,862","7,123","14,417","18,913","15,818","17,095","14,410","6,877","3,430","400","12","112,931","112,931","5,675","6,938","16,690","19,125","16,236","17,817","15,176","8,750","5,510","969","45"
"서울특별시 용산구 후암동(1117051000)","7,826","7,826","380","599","1,106","1,468","1,140","1,291","1,055","547","219","18","3","8,322","8,322","372","505","1,131","1,323","1,218","1,333","1,220","690","444","79","7"
"서울특별시 용산구 용산2가동(1117052000)","4,351","4,351","135","225","699","847","660","579","625","382","180","19","0","4,642","4,642","126","216","682","766","585","686","735","494","295","57","0"
"서울특별시 용산구 남영동(1117053000)","4,228","4,228","72","125","370","550","534","1,032","998","397","136","13","1","2,735","2,735","61","101","451","476","350","470","427","234","145","17","3"
"서울특별시 용산구 청파동(1117055500)","8,833","8,833","256","482","1,571","1,791","1,206","1,484","1,185","556","282","18","2","10,209","10,209","266","535","2,538","1,577","1,167","1,509","1,300","806","445","64","2"
"서울특별시 용산구 원효로제1동(1117056000)","7,995","7,995","584","501","1,105","1,939","1,337","1,101","882","370","157","18","1","9,184","9,184","571","461","1,785","2,225","1,358","1,127","913","461","235","46","2"
"서울특별시 용산구 원효로제2동(1117057000)","6,431","6,431","366","438","859","1,116","1,000","1,086","904","450","188","24","0","7,283","7,283","395","603","1,067","1,138","1,018","1,144","975","532","349","57","5"
"서울특별시 용산구 효창동(1117058000)","5,106","5,106","380","382","757","949","802","803","595","273","149","16","0","5,651","5,651","402","311","863","1,044","828","920","631","378","237","36","1"
"서울특별시 용산구 용문동(1117059000)","5,483","5,483","303","342","796","980","784","909","742","417","199","11","0","5,976","5,976","325","315","859","971","788","945","877","557","288","49","2"
"서울특별시 용산구 한강로동(1117062500)","10,014","10,014","641","516","1,371","2,297","1,392","1,525","1,347","592","300","33","0","11,161","11,161","599","485","1,888","2,619","1,469","1,700","1,311","622","394","69","5"
"서울특별시 용산구 이촌제1동(1117063000)","11,727","11,727","1,150","1,363","1,253","1,309","1,884","2,084","1,475","693","432","83","1","13,261","13,261","1,061","1,317","1,296","1,633","2,313","2,294","1,538","942","719","142","6"
"서울특별시 용산구 이촌제2동(1117064000)","3,724","3,724","217","232","410","646","556","617","578","315","131","21","1","4,241","4,241","237","241","394","648","586","675","753","402","251","51","3"
"서울특별시 용산구 이태원제1동(1117065000)","3,027","3,027","97","118","517","636","400","430","482","201","121","25","0","3,057","3,057","106","124","424","476","389","486","514","314","175","48","1"
"서울특별시 용산구 이태원제2동(1117066000)","4,048","4,048","185","191","620","824","627","583","521","300","172","25","0","4,605","4,605","174","239","627","807","664","657","644","434","315","42","2"
"서울특별시 용산구 한남동(1117068500)","9,258","9,258","562","575","1,135","1,723","1,556","1,437","1,280","638","328","24","0","9,878","9,878","511","522","1,115","1,847","1,528","1,587","1,409","822","451","85","1"
"서울특별시 용산구 서빙고동(1117069000)","6,058","6,058","366","672","823","706","1,067","1,045","818","314","214","30","3","6,486","6,486","326","709","782","712","1,160","1,139","781","414","394","67","2"
"서울특별시 용산구 보광동(1117070000)","6,248","6,248","168","362","1,025","1,132","873","1,089","923","432","222","22","0","6,240","6,240","143","254","788","863","815","1,145","1,148","648","373","60","3"
"서울특별시 성동구 (1120000000)","135,723","135,723","8,955","9,205","20,289","22,270","20,859","22,026","18,804","9,047","3,923","331","14","143,651","143,651","8,493","9,276","21,330","23,241","20,702","22,675","19,652","11,164","6,192","895","31"
"서울특별시 성동구 왕십리제2동(1120052000)","7,794","7,794","561","554","1,049","1,336","1,212","1,273","1,079","494","211","25","0","8,410","8,410","567","528","1,178","1,431","1,195","1,353","1,145","649","312","51","1"
"서울특별시 성동구 왕십리도선동(1120053500)","12,416","12,416","1,049","863","1,778","1,993","1,991","2,032","1,614","717","352","27","0","13,989","13,989","959","816","2,349","2,410","1,973","2,283","1,654","914","524","104","3"
"서울특별시 성동구 마장동(1120054000)","10,788","10,788","515","731","2,090","1,653","1,392","1,675","1,559","800","340","33","0","11,076","11,076","500","748","2,062","1,526","1,309","1,785","1,610","910","555","70","1"
"서울특별시 성동구 사근동(1120055000)","6,319","6,319","181","394","2,736","908","549","610","481","285","167","8","0","5,727","5,727","163","449","2,136","688","501","653","500","393","225","19","0"
"서울특별시 성동구 행당제1동(1120056000)","6,580","6,580","447","471","1,000","1,102","1,001","1,042","866","444","183","21","3","7,131","7,131","422","525","1,147","1,106","1,060","1,148","882","493","296","47","5"
"서울특별시 성동구 행당제2동(1120057000)","10,702","10,702","775","859","1,243","1,603","1,758","1,929","1,427","758","323","27","0","12,284","12,284","804","1,046","1,423","1,818","1,878","2,049","1,615","1,014","557","77","3"
"서울특별시 성동구 응봉동(1120058000)","7,114","7,114","528","787","794","970","1,241","1,217","839","481","237","20","0","7,843","7,843","458","753","899","1,041","1,400","1,257","996","626","364","47","2"
"서울특별시 성동구 금호1가동(1120059000)","7,120","7,120","580","545","776","1,088","1,279","1,122","994","511","209","16","0","7,817","7,817","530","525","797","1,236","1,248","1,215","1,186","648","378","52","2"
"서울특별시 성동구 금호2.3가동(1120061500)","10,544","10,544","828","653","1,266","1,874","1,753","1,676","1,431","714","316","30","3","11,509","11,509","751","656","1,249","1,934","1,831","1,852","1,638","966","550","78","4"
"서울특별시 성동구 금호4가동(1120062000)","6,760","6,760","644","476","680","1,081","1,289","1,060","879","454","182","13","2","7,517","7,517","582","461","680","1,286","1,324","1,083","1,076","630","342","51","2"
"서울특별시 성동구 옥수동(1120064500)","11,795","11,795","1,128","801","1,173","2,027","2,174","1,796","1,527","790","339","38","2","13,648","13,648","1,187","828","1,319","2,496","2,249","2,049","1,869","1,000","559","90","2"
"서울특별시 성동구 성수1가제1동(1120065000)","7,760","7,760","470","497","1,134","1,390","1,055","1,357","1,233","447","163","12","2","7,829","7,829","422","448","1,091","1,434","1,048","1,436","1,159","486","268","36","1"
"서울특별시 성동구 성수1가제2동(1120066000)","5,906","5,906","300","409","854","1,157","855","950","808","392","168","13","0","6,172","6,172","303","366","940","1,163","929","906","851","454","227","33","0"
"서울특별시 성동구 성수2가제1동(1120067000)","7,691","7,691","320","374","985","1,311","1,049","1,381","1,471","561","224","15","0","7,156","7,156","297","380","936","1,141","879","1,234","1,280","638","328","41","2"
"서울특별시 성동구 성수2가제3동(1120069000)","5,106","5,106","254","249","818","892","712","827","799","387","155","12","1","5,102","5,102","222","242","904","939","650","781","691","409","233","30","1"
"서울특별시 성동구 송정동(1120072000)","5,233","5,233","228","264","766","877","753","932","910","364","130","9","0","4,675","4,675","185","232","757","681","597","809","781","418","188","26","1"
"서울특별시 성동구 용답동(1120079000)","6,095","6,095","147","278","1,147","1,008","796","1,147","887","448","224","12","1","5,766","5,766","141","273","1,463","911","631","782","719","516","286","43","1"
"서울특별시 광진구 (1121500000)","161,755","161,755","8,108","12,139","27,749","27,269","23,874","25,698","21,633","10,528","4,379","366","12","174,414","174,414","7,614","12,007","31,854","27,500","24,678","27,132","23,687","12,592","6,349","971","30"
"서울특별시 광진구 화양동(1121571000)","11,101","11,101","155","317","4,398","2,502","1,123","1,090","829","443","226","18","0","12,327","12,327","154","432","5,884","2,270","945","893","865","574","267","42","1"
"서울특별시 광진구 군자동(1121573000)","9,525","9,525","354","523","2,052","1,841","1,279","1,329","1,227","642","267","11","0","9,765","9,765","322","463","2,235","1,710","1,241","1,307","1,330","707","392","56","2"
"서울특별시 광진구 중곡제1동(1121574000)","7,284","7,284","298","356","1,195","1,477","1,032","1,153","1,028","518","212","14","1","8,077","8,077","291","327","1,694","1,557","926","1,186","1,154","603","293","45","1"
"서울특별시 광진구 중곡제2동(1121575000)","9,809","9,809","439","636","1,532","1,816","1,423","1,535","1,441","700","273","13","1","10,967","10,967","424","613","1,862","1,908","1,450","1,838","1,611","857","345","56","3"
"서울특별시 광진구 중곡제3동(1121576000)","7,829","7,829","343","431","1,138","1,437","1,105","1,322","1,215","592","230","16","0","8,034","8,034","277","415","1,263","1,320","991","1,378","1,259","746","348","37","0"
"서울특별시 광진구 중곡제4동(1121577000)","13,546","13,546","565","871","2,035","2,100","1,825","2,382","2,215","1,108","423","20","2","14,232","14,232","517","810","2,011","1,951","1,805","2,697","2,469","1,292","597","81","2"
"서울특별시 광진구 능동(1121578000)","5,127","5,127","238","252","985","1,120","793","671","586","316","158","8","0","6,045","6,045","238","257","1,272","1,358","833","742","725","399","195","25","1"
"서울특별시 광진구 광장동(1121581000)","16,490","16,490","1,325","2,736","1,935","1,475","3,125","3,034","1,701","753","351","53","2","17,548","17,548","1,177","2,668","1,942","1,843","3,785","2,975","1,712","792","540","110","4"
"서울특별시 광진구 자양제1동(1121582000)","10,744","10,744","398","739","1,927","1,988","1,605","1,668","1,437","672","288","22","0","11,361","11,361","381","679","2,050","1,843","1,617","1,726","1,620","910","471","63","1"
"서울특별시 광진구 자양제2동(1121583000)","11,513","11,513","648","880","1,591","1,841","1,791","1,854","1,737","841","301","28","1","12,228","12,228","638","815","1,657","1,802","1,843","2,071","1,947","971","416","67","1"
"서울특별시 광진구 자양제3동(1121584000)","13,098","13,098","1,045","1,180","1,760","1,788","2,037","2,198","1,832","806","394","56","2","14,292","14,292","943","1,281","1,752","2,047","2,239","2,412","1,997","937","571","109","4"
"서울특별시 광진구 자양제4동(1121584700)","8,913","8,913","322","367","1,449","1,576","1,177","1,460","1,513","741","285","22","1","9,037","9,037","296","389","1,552","1,416","1,068","1,347","1,541","917","453","58","0"
"서울특별시 광진구 구의제1동(1121585000)","11,187","11,187","435","606","2,200","2,343","1,659","1,669","1,356","616","275","28","0","12,211","12,211","452","620","2,644","2,302","1,631","1,778","1,502","803","414","62","3"
"서울특별시 광진구 구의제2동(1121586000)","12,364","12,364","715","1,107","1,643","1,776","1,975","2,127","1,737","916","349","19","0","13,474","13,474","693","1,059","1,740","1,862","2,079","2,340","1,993","1,101","525","77","5"
"서울특별시 광진구 구의제3동(1121587000)","13,225","13,225","828","1,138","1,909","2,189","1,925","2,206","1,779","864","347","38","2","14,816","14,816","811","1,179","2,296","2,311","2,225","2,442","1,962","983","522","83","2"
"서울특별시 동대문구 (1123000000)","166,040","166,040","9,262","11,572","27,047","25,137","24,745","26,195","23,501","12,557","5,570","442","12","172,075","172,075","8,981","11,350","29,606","23,551","23,324","25,630","24,763","15,425","8,221","1,180","44"
"서울특별시 동대문구 용신동(1123053600)","18,062","18,062","902","924","3,022","3,389","2,726","2,760","2,512","1,198","584","44","1","18,434","18,434","928","868","3,807","3,277","2,397","2,474","2,341","1,415","814","108","5"
"서울특별시 동대문구 제기동(1123054500)","12,264","12,264","438","664","2,380","1,725","1,500","1,917","1,906","1,142","541","50","1","11,719","11,719","421","607","2,115","1,375","1,236","1,700","1,950","1,394","807","108","6"
"서울특별시 동대문구 전농제1동(1123056000)","14,218","14,218","798","900","2,154","2,030","2,090","2,422","2,227","1,074","493","30","0","14,373","14,373","778","884","2,265","1,919","1,866","2,267","2,163","1,359","758","108","6"
"서울특별시 동대문구 전농제2동(1123057000)","8,677","8,677","520","804","995","1,068","1,333","1,518","1,317","710","380","31","1","9,452","9,452","495","815","1,020","1,012","1,412","1,653","1,576","898","513","56","2"
"서울특별시 동대문구 답십리제1동(1123060000)","13,485","13,485","1,200","975","1,703","2,266","2,422","2,006","1,755","810","322","25","1","14,528","14,528","1,184","973","2,133","2,529","2,297","2,042","1,758","974","545","86","7"
"서울특별시 동대문구 답십리제2동(1123061000)","13,370","13,370","791","867","1,633","2,159","1,937","2,261","2,075","1,101","504","41","1","14,272","14,272","822","888","1,620","2,064","1,914","2,363","2,366","1,375","751","109","0"
"서울특별시 동대문구 장안제1동(1123065000)","18,644","18,644","1,151","1,264","2,312","3,122","3,172","2,927","2,700","1,456","508","31","1","19,119","19,119","1,033","1,294","2,664","2,913","2,979","2,897","2,921","1,616","690","104","8"
"서울특별시 동대문구 장안제2동(1123066000)","16,075","16,075","1,283","1,541","1,851","2,333","2,877","2,543","2,098","1,144","384","20","1","16,389","16,389","1,228","1,299","1,859","2,373","2,839","2,477","2,361","1,293","569","89","2"
"서울특별시 동대문구 청량리동(1123070500)","9,352","9,352","325","501","1,146","1,180","1,170","1,591","1,883","1,045","460","51","0","9,532","9,532","327","470","1,111","950","1,048","1,534","1,919","1,323","719","129","2"
"서울특별시 동대문구 회기동(1123071000)","4,970","4,970","156","350","1,596","779","582","628","447","260","157","13","2","5,506","5,506","163","404","1,894","655","599","598","523","374","253","43","0"
"서울특별시 동대문구 휘경제1동(1123072000)","6,556","6,556","368","387","1,531","1,117","840","913","758","421","199","21","1","7,347","7,347","350","430","2,192","984","791","977","760","542","273","46","2"
"서울특별시 동대문구 휘경제2동(1123073000)","12,169","12,169","536","945","3,086","1,615","1,614","1,773","1,406","816","345","33","0","12,248","12,248","466","1,024","2,821","1,416","1,587","1,770","1,582","1,017","498","65","2"
"서울특별시 동대문구 이문제1동(1123074000)","8,833","8,833","281","620","2,430","1,174","1,058","1,293","1,031","582","334","29","1","9,011","9,011","291","590","2,646","895","978","1,208","1,059","794","491","57","2"
"서울특별시 동대문구 이문제2동(1123075000)","9,365","9,365","513","830","1,208","1,180","1,424","1,643","1,386","798","359","23","1","10,145","10,145","495","804","1,459","1,189","1,381","1,670","1,484","1,051","540","72","0"
"서울특별시 중랑구 (1126000000)","188,744","188,744","10,070","12,535","24,668","29,522","28,155","32,120","30,471","14,917","5,848","427","11","195,528","195,528","9,712","11,984","26,567","28,127","25,929","32,918","32,492","17,736","8,680","1,335","48"
"서울특별시 중랑구 면목제2동(1126052000)","11,842","11,842","515","692","1,456","1,782","1,759","2,285","1,996","946","377","33","1","11,929","11,929","498","684","1,530","1,587","1,530","2,219","2,104","1,136","556","84","1"
"서울특별시 중랑구 면목제4동(1126054000)","9,131","9,131","449","606","1,163","1,290","1,444","1,623","1,456","765","309","25","1","9,214","9,214","434","542","1,093","1,177","1,281","1,583","1,544","1,071","436","50","3"
"서울특별시 중랑구 면목제5동(1126055000)","7,311","7,311","669","435","799","1,242","1,274","1,199","1,030","479","174","10","0","7,325","7,325","678","404","765","1,248","1,124","1,174","1,065","553","276","36","2"
"서울특별시 중랑구 면목본동(1126056500)","16,265","16,265","654","812","2,327","2,804","2,406","2,953","2,555","1,218","506","28","2","16,667","16,667","596","854","2,544","2,476","2,098","2,969","2,708","1,590","719","112","1"
"서울특별시 중랑구 면목제7동(1126057000)","10,678","10,678","570","580","1,355","1,683","1,549","1,846","1,788","945","333","29","0","10,728","10,728","485","516","1,467","1,574","1,356","1,812","1,895","1,067","474","80","2"
"서울특별시 중랑구 면목제3.8동(1126057500)","12,176","12,176","486","654","1,727","1,892","1,717","2,195","2,033","1,037","413","22","0","12,429","12,429","472","624","1,720","1,642","1,521","2,247","2,304","1,221","590","86","2"
"서울특별시 중랑구 상봉제1동(1126058000)","11,363","11,363","773","936","1,499","1,718","1,692","1,857","1,817","745","316","10","0","12,012","12,012","755","842","1,544","1,711","1,626","2,104","1,936","938","473","82","1"
"서울특별시 중랑구 상봉제2동(1126059000)","9,700","9,700","374","351","1,667","2,323","1,306","1,484","1,308","617","239","30","1","10,521","10,521","372","310","2,396","2,401","1,160","1,424","1,330","740","323","58","7"
"서울특별시 중랑구 중화제1동(1126060000)","9,305","9,305","482","602","1,173","1,583","1,408","1,414","1,537","811","277","17","1","9,629","9,629","488","586","1,207","1,479","1,222","1,564","1,720","911","405","46","1"
"서울특별시 중랑구 중화제2동(1126061000)","12,419","12,419","483","556","1,658","1,929","1,697","2,303","2,302","1,012","451","28","0","11,777","11,777","413","467","1,715","1,713","1,412","2,056","2,133","1,164","632","71","1"
"서울특별시 중랑구 묵제1동(1126062000)","16,161","16,161","894","1,523","2,188","2,244","2,590","2,641","2,275","1,266","511","29","0","17,711","17,711","909","1,438","2,603","2,293","2,670","2,860","2,649","1,488","699","99","3"
"서울특별시 중랑구 묵제2동(1126063000)","8,951","8,951","426","557","1,201","1,397","1,358","1,531","1,409","747","302","22","1","9,382","9,382","404","507","1,293","1,318","1,302","1,565","1,630","902","410","49","2"
"서울특별시 중랑구 망우본동(1126065500)","17,572","17,572","1,242","1,009","2,088","2,967","2,621","2,793","2,967","1,347","496","41","1","18,030","18,030","1,188","1,078","2,458","2,853","2,301","2,765","2,912","1,513","817","138","7"
"서울특별시 중랑구 망우제3동(1126066000)","7,943","7,943","300","417","1,051","1,047","1,056","1,530","1,527","709","276","30","0","7,893","7,893","288","486","1,037","905","938","1,523","1,440","806","384","85","1"
"서울특별시 중랑구 신내1동(1126068000)","18,489","18,489","1,244","2,021","2,227","2,281","2,833","2,917","2,910","1,460","556","40","0","19,825","19,825","1,214","1,903","2,119","2,369","2,959","3,251","3,256","1,647","923","176","8"
"서울특별시 중랑구 신내2동(1126069000)","9,438","9,438","509","784","1,089","1,340","1,445","1,549","1,561","813","312","33","3","10,456","10,456","518","743","1,076","1,381","1,429","1,802","1,866","989","563","83","6"
"서울특별시 성북구 (1129000000)","206,043","206,043","12,795","18,183","30,919","28,483","31,780","34,837","27,232","14,492","6,734","574","14","223,099","223,099","12,228","17,839","34,365","28,361","32,992","35,760","30,809","18,752","10,356","1,591","46"
"서울특별시 성북구 성북동(1129052500)","7,466","7,466","311","546","1,183","1,225","1,063","1,265","1,009","508","314","39","3","8,596","8,596","320","538","1,424","1,283","1,199","1,440","1,135","707","459","88","3"
"서울특별시 성북구 삼선동(1129055500)","10,635","10,635","426","884","1,878","1,507","1,541","1,906","1,369","719","365","38","2","11,764","11,764","401","869","2,324","1,589","1,575","1,860","1,461","986","621","75","3"
"서울특별시 성북구 동선동(1129057500)","6,220","6,220","203","360","1,403","1,163","865","928","658","419","202","19","0","8,798","8,798","229","569","3,187","1,245","924","949","788","516","337","52","2"
"서울특별시 성북구 돈암제1동(1129058000)","6,690","6,690","358","539","845","920","890","1,243","1,066","571","236","22","0","7,668","7,668","341","570","1,006","960","987","1,358","1,253","717","419","55","2"
"서울특별시 성북구 돈암제2동(1129059000)","11,101","11,101","857","1,297","1,357","1,326","1,799","2,066","1,387","660","316","35","1","12,379","12,379","830","1,337","1,365","1,443","2,142","2,235","1,561","849","502","113","2"
"서울특별시 성북구 안암동(1129060000)","7,596","7,596","190","442","2,849","1,142","723","948","710","390","179","22","1","7,476","7,476","183","386","2,675","883","702","993","748","507","343","54","2"
"서울특별시 성북구 보문동(1129061000)","7,802","7,802","518","468","1,241","1,415","1,192","1,293","972","479","204","20","0","8,488","8,488","482","539","1,451","1,383","1,150","1,367","1,082","652","331","49","2"
"서울특별시 성북구 정릉제1동(1129062000)","8,543","8,543","658","824","1,099","1,173","1,422","1,383","1,091","588","276","29","0","9,303","9,303","596","832","1,104","1,222","1,520","1,475","1,235","804","452","62","1"
"서울특별시 성북구 정릉제2동(1129063000)","10,945","10,945","649","887","1,524","1,506","1,654","1,831","1,576","894","390","34","0","11,737","11,737","634","788","1,521","1,495","1,600","1,996","1,883","1,102","637","81","0"
"서울특별시 성북구 정릉제3동(1129064000)","7,528","7,528","246","516","1,897","1,018","799","1,116","988","633","292","23","0","7,584","7,584","213","451","1,497","779","800","1,170","1,270","814","502","86","2"
"서울특별시 성북구 정릉제4동(1129065000)","11,623","11,623","665","1,034","1,547","1,457","1,801","2,051","1,660","937","437","34","0","12,650","12,650","608","980","1,554","1,429","1,887","2,178","2,028","1,223","653","106","4"
"서울특별시 성북구 길음제1동(1129066000)","16,453","16,453","1,562","2,424","1,612","1,701","3,373","2,951","1,537","851","419","23","0","18,357","18,357","1,480","2,543","1,770","2,074","3,917","2,722","1,910","1,232","605","100","4"
"서울특별시 성북구 길음제2동(1129068500)","10,479","10,479","1,033","1,098","1,172","1,393","1,883","1,798","1,217","647","217","21","0","11,388","11,388","1,012","966","1,346","1,537","2,054","1,841","1,438","753","372","67","2"
"서울특별시 성북구 종암동(1129070500)","18,756","18,756","1,102","1,875","2,897","2,445","2,862","3,150","2,483","1,222","647","70","3","19,217","19,217","1,071","1,575","2,625","2,217","3,025","3,158","2,654","1,678","1,023","186","5"
"서울특별시 성북구 월곡제1동(1129071500)","12,459","12,459","826","1,245","1,347","1,593","2,113","2,162","1,780","920","447","26","0","13,361","13,361","825","1,256","1,527","1,641","2,137","2,147","1,927","1,250","573","75","3"
"서울특별시 성북구 월곡제2동(1129072500)","9,099","9,099","447","711","1,423","1,342","1,281","1,493","1,314","721","342","24","1","10,004","10,004","403","700","2,098","1,238","1,260","1,462","1,416","861","485","79","2"
"서울특별시 성북구 장위제1동(1129076000)","11,515","11,515","759","910","1,524","1,683","1,823","1,980","1,701","802","306","27","0","12,196","12,196","792","884","1,572","1,539","1,765","2,159","1,903","983","531","65","3"
"서울특별시 성북구 장위제2동(1129077000)","6,511","6,511","276","401","875","914","906","1,174","1,044","620","284","17","0","6,763","6,763","233","392","907","875","784","1,130","1,221","768","393","58","2"
